"","repl","perform","suit_pxls","proportion"
"1",1,0.5,90338,0.914778135569192
"2",2,0.5,80962,0.81983514591814
"3",3,0.5,64496,0.653097596046742
"4",4,0.2,69607,0.704852461672439
"5",5,0.3,72823,0.737418231160257
"6",6,0.6,89559,0.906889847499848
"7",7,0.5,87062,0.881604795755109
"8",8,0.3,70574,0.714644470097414
"9",9,0.3,74184,0.751199951394374
"10",10,0.6,93514,0.946938858172834
"11",11,0.6,73351,0.742764850031391
"12",12,0.5,75389,0.763401988780201
"13",13,0.4,66589,0.674291674261296
"14",14,0.7,94184,0.953723393482796
"15",15,0.3,66522,0.6736132207303
"16",16,0.5,80435,0.81449865321911
"17",17,0.3,88384,0.894991595277153
"18",18,0.4,81412,0.82439192336513
"19",19,0.6,93188,0.943637726066792
"20",20,0.5,79950,0.809587459748466
"21",21,0.5,88185,0.892976487028374
"22",22,0.4,85835,0.869179982582984
"23",23,0.3,63401,0.642009437592401
"24",24,0.4,67332,0.681815420134881
"25",25,0.9,97907,0.991423132227555
"26",26,0.2,82999,0.840462158494846
"27",27,0.5,83012,0.840593798732203
"28",28,0.9,96066,0.972780849383316
"29",29,0.6,88470,0.895862446078134
"30",30,0.5,79921,0.809293800757438
"31",31,0.5,91063,0.922119610344897
"32",32,0,54879,0.555714198918525
"33",33,0.6,74471,0.754106162788343
"34",34,0.4,79567,0.805709135832473
"35",35,0.5,84268,0.853312270895356
"36",36,0.5,79430,0.804321850254167
"37",37,0.8,85683,0.867640804423112
"38",38,0.6,89088,0.902120420438666
"39",39,0.5,79328,0.803288980699516
"40",40,0.7,82995,0.840421653806428
"41",41,0.4,87766,0.888733620916621
"42",42,0.4,65609,0.664368025598963
"43",43,0.4,66110,0.669441237823278
"44",44,0.8,98695,0.999402555845839
"45",45,0.2,55731,0.564341697551492
"46",46,0.5,87202,0.883022459849728
"47",47,0.7,85933,0.870172347449217
"48",48,0.6,75524,0.764769022014298
"49",49,0.5,73735,0.746653300119489
"50",50,0.5,83153,0.842021588998927
