"","replicate","ev_long","ev_lat","perform","tot_suit_pxs","prop_pxs"
"1",1,-50.355943,-5.91929,0,138264,0.977607455225516
"2",2,-52.058244,-1.618627,1,136853,0.96763085886404
"3",3,-56.096823,-15.60086,1,139811,0.988545651236292
"4",4,-56.08516,-13.821054,1,141298,0.999059612107671
"5",5,-39.065366,-16.444354,1,142915,1.01049274911441
"6",6,-47.810324,-21.170401,1,141146,0.997984883087866
"7",7,-60.021731,-3.119028,0,133217,0.941922209416606
"8",8,-55.415717,-7.038894,1,142803,1.00970084352087
"9",9,-56.024998,-5.179103,1,141362,0.999512129589694
"10",10,-47.876062,-12.620142,0,128143,0.906046057794967
"11",11,-67.058698,-10.076392,1,142225,1.00561404501135
"12",12,-51.432111,-0.216389,0,120381,0.851164171928361
"13",13,-47.601977,-0.798955,1,139118,0.983645735376261
"14",14,-49.327687,-5.134735,0,139048,0.983150794380299
"15",15,-79.65397,0.9592,1,140445,0.993028402542583
"16",16,-69.1833326,-12.5999976,1,142566,1.00802511472025
"17",17,-78.805594,-6.373871,1,142123,1.00489284527437
"18",18,-78.895548,-6.591956,0,138753,0.981064971611599
"19",19,-71.967463,-13.53195,0,137486,0.972106539584674
"20",20,-73.251633,-3.743673,1,141037,0.997214189251296
"21",21,-76.112905,-5.900772,0,142148,1.00506960991579
"22",22,-72.614288,-12.735741,1,143383,1.0138017832017
"23",23,-72.044594,-13.105302,1,140104,0.990617332833679
"24",24,-73.827843,-12.520314,1,140316,0.99211629699288
"25",25,-72.279309,-12.681124,1,142208,1.00549384505519
"26",26,-73.134699,-12.75572,1,142029,1.00422821022265
"27",27,-76.491111,-7.228056,1,141965,1.00377569274063
"28",28,-75.70537,-9.338978,1,141965,1.00377569274063
"29",29,-76.04732,-8.968845,1,142471,1.00735340908287
"30",30,-75.997544,-9.166672,1,143194,1.0124654425126
"31",31,-75.987027,-9.37783,0,142230,1.00564939793963
"32",32,-80.63282,-5.19449,1,142038,1.00429184549356
"33",33,-64.4719,-23.642765,1,140763,0.995276848781385
"34",34,-64.868305,-24.231028,0,134319,0.94971399481019
"35",35,-64.305034,-23.978054,0,125991,0.890830157461943
