ID,spp,Longitude,Latitude
32,orov1,-80.63282,-5.19449
15,orov1,-79.65397,0.9592
18,orov1,-78.895548,-6.591956
17,orov1,-78.805594,-6.373871
27,orov1,-76.491111,-7.228056
21,orov1,-76.112905,-5.900772
29,orov1,-76.04732,-8.968845
30,orov1,-75.997544,-9.166672
31,orov1,-75.987027,-9.37783
28,orov1,-75.70537,-9.338978
24,orov1,-73.827843,-12.520314
20,orov1,-73.251633,-3.743673
26,orov1,-73.134699,-12.75572
22,orov1,-72.614288,-12.735741
25,orov1,-72.279309,-12.681124
23,orov1,-72.044594,-13.105302
19,orov1,-71.967463,-13.53195
16,orov1,-69.1833326,-12.5999976
11,orov1,-67.058698,-10.076392
34,orov1,-64.868305,-24.231028
33,orov1,-64.4719,-23.642765
35,orov1,-64.305034,-23.978054
7,orov1,-60.021731,-3.119028
3,orov1,-56.096823,-15.60086
4,orov1,-56.08516,-13.821054
9,orov1,-56.024998,-5.179103
8,orov1,-55.415717,-7.038894
2,orov1,-52.058244,-1.618627
12,orov1,-51.432111,-0.216389
1,orov1,-50.355943,-5.91929
14,orov1,-49.327687,-5.134735
10,orov1,-47.876062,-12.620142
6,orov1,-47.810324,-21.170401
13,orov1,-47.601977,-0.798955
5,orov1,-39.065366,-16.444354
