"cod","country","second","pop_risk","pop_tot","incid"
"ABW-5150","Aruba","Aruba",0,1194.84994617823,0
"AIA+99?","Anguilla",NA,0,0,0
"AIA-5114","Anguilla","Blowing Point",0,0,0
"AIA-5115","Anguilla","East End",0,0,0
"AIA-5116","Anguilla","George Hill",0,0,0
"AIA-5117","Anguilla","Island Harbour",0,0,0
"AIA-5118","Anguilla","North Hill",0,0,0
"AIA-5119","Anguilla","North Side",0,0,0
"AIA-5120","Anguilla","Sandy Ground",0,0,0
"AIA-5121","Anguilla","Sandy Hill",0,0,0
"AIA-5122","Anguilla","South Hill",0,0,0
"AIA-5123","Anguilla","Stoney Ground",0,0,0
"AIA-5124","Anguilla","The Farrington",0,149.522840515778,0
"AIA-5125","Anguilla","The Quarter",0,0,0
"AIA-5126","Anguilla","The Valley",0,0,0
"AIA-5127","Anguilla","West End",0,0,0
"ARG-1271","Argentina","Santa Cruz",0,3564.85848736093,0
"ARG-1272","Argentina","Tierra del Fuego",0,1392.75718630222,0
"ARG-1273","Argentina","San Juan",0,7418.57432355151,0
"ARG-1274","Argentina","Chubut",0,6234.37016682474,0
"ARG-1275","Argentina","Mendoza",0,19102.059698101,0
"ARG-1276","Argentina","Neuquén",0,5276.65802067311,0
"ARG-1295","Argentina","Buenos Aires",19156.7358436516,154822.236224504,0.123733749820491
"ARG-1296","Argentina","La Pampa",0,3362.35685043047,0
"ARG-1297","Argentina","Río Negro",0,9006.85260467891,0
"ARG-1298","Argentina","San Luis",0,5011.8526206039,0
"ARG-1299","Argentina","Córdoba",644.404566485775,36259.1082248811,0.0177722122256604
"ARG-1300","Argentina","Catamarca",34.1895539737614,4404.16941511754,0.00776299700379464
"ARG-1301","Argentina","Jujuy",1080.54542434194,7388.14670949436,0.146253920885647
"ARG-1302","Argentina","La Rioja",4.28260178628702,3842.58898624729,0.00111450946266034
"ARG-1303","Argentina","Salta",4367.72345796122,14970.948914605,0.291746600891827
"ARG-1304","Argentina","Santiago del Estero",10.0782401423265,9486.72800094091,0.00106235154431822
"ARG-1305","Argentina","Tucumán",7015.92126534072,15882.5291197165,0.441738290700263
"ARG-1306","Argentina","Chaco",6342.9488615515,12417.9514299253,0.510788667305138
"ARG-1307","Argentina","Formosa",4387.47689494801,6085.09972812017,0.721019718817887
"ARG-1308","Argentina","Corrientes",10487.1202366404,11001.6853244514,0.953228521573201
"ARG-1309","Argentina","Entre Ríos",8794.16994286179,14209.1835038024,0.61890747913196
"ARG-1310","Argentina","Santa Fe",6162.98726953972,34178.6772869823,0.180316728403268
"ARG-1312","Argentina","Misiones",11419.6498803532,11517.3792929984,0.991514613684326
"ARG-5493","Argentina","Ciudad de Buenos Aires",25592.3481185417,55459.7202501706,0.461458298078288
"ATG-5091","Barbuda","Barbuda",0,7.98314404063925,0
"ATG-5093","Antigua","Saint George",0,236.108034546267,0
"ATG-5094","Antigua","Saint Peter",0,0,0
"ATG-5095","Antigua","Saint Philip",0,34.6999447028562,0
"ATG-5096","Antigua","Saint Paul",0,161.131257027827,0
"ATG-5097","Antigua","Saint Mary",0,192.434339887359,0
"ATG-5098","Antigua","Saint John",0,0,0
"BHS-5009","The Bahamas","New Providence",3013.11550413411,3013.11550413411,1
